sta_id,rec_id,dt_dep,dt_ret
SB-6,133757,8/12/18 0:00,8/15/18 7:19
SB-5,123456,8/12/18 12:23,8/14/18 0:00
SB-3,132477,8/12/18 15:27,8/14/18 13:30
SB-2,110864,8/12/18 16:27,8/14/18 12:30
SB-1,108716,8/12/18 9:00,8/15/18 10:30
SB-10,133753,8/12/18 10:00,8/14/18 16:45
SB-9,133756,8/12/18 11:00,8/14/18 14:59
SB-8,133755,8/13/18 12:00,5/29/19 9:32
SB-7,129794,8/13/18 7:00,8/15/18 8:20
SB-2,129793,8/14/18 12:30,8/14/18 12:30
SB-3,111372,8/14/18 8:00,5/29/19 14:51
SB-5,110862,8/14/18 9:00,8/14/18 14:15
SB-2,129793,8/14/18 12:30,9/9/18 9:00
SB-5,110862,8/14/18 14:15,5/28/19 17:33
SB-9,133756,8/14/18 14:59,5/29/19 11:29
SB-8,133755,8/14/18 15:33,5/29/19 9:32
SB-10,133756,8/14/18 16:45,8/15/18 9:30
SB-6,133757,8/15/18 7:19,5/28/19 17:57
SB-7,129794,8/15/18 8:20,5/28/19 18:32
SB-10,129794,8/15/18 9:30,5/29/19 13:30
SB-1,133753,8/15/18 10:30,9/9/18 12:50
SB-2,133757,9/9/18 11:00,5/29/19 14:30
SB-1,102744,9/9/18 12:50,5/29/19 17:00
Mound Offshore,482807,5/28/19 11:12,10/15/19 12:08
SB-5,482808,5/28/19 17:33,10/16/19 9:57
SB-6,482809,5/28/19 17:57,10/16/19 9:19
SB-7,482810,5/28/19 18:32,10/16/19 8:16
SB-8,482803,5/29/19 9:32,10/16/19 14:36
SB-9,482804,5/29/19 11:29,10/16/19 15:20
SB-10,482805,5/29/19 13:30,10/16/19 16:11
SB-2,133758,5/29/19 14:30,10/15/19 17:33
SB-3,129550,5/29/19 14:51,10/15/19 14:25
SB-1,482806,5/29/19 17:00,10/16/19 16:39
Mound Inshore,110564,5/30/19 8:45,10/17/19 12:44
WR-C,133757,5/30/19 12:01,10/15/19 16:18
WR-W,133755,5/30/19 13:50,10/15/19 15:54
SB-4,123465,5/30/19 14:20,10/16/19 12:32
UW Arch,110862,5/30/19 15:00,10/16/19 12:07
Sutil,102744,5/30/19 16:00,10/16/19 8:45
MPA Corner,111372,5/30/19 17:00,10/17/19 12:00
SB-9.5,132477,5/31/19 9:38,10/16/19 15:45
WR-E,129794,5/31/19 11:00,10/15/19 16:53