Site,Lat_dd,Lon_dd,InstallTyp,Depth,Notes
WR-W,33.49152,-119.0686,Putty,49-54ft, 
WR-E,33.49324,-119.05283,Putty,67ft, 
Mound Offshore,33.4876,-119.0168, ,89.96ft,Co-located with SoundTrap
WR-C,33.48881,-119.05918,Putty,55ft, 
Sutil,33.46333,-119.05296,Putty,54ft, 
UW Arch,33.48115,-119.06325,Putty,46ft, 
MPA Corner,33.46488,-119.0276,Cement,54ft, 
Mound Inshore,33.4879,-119.0193,Putty,60ft, 
SB-4,33.48554,-119.04978,Cement,63ft, 
SB-9.5,33.4777,-119.02422,Sand Screw, , 
SB-1,33.488,-119.025, , , 
SB-2,33.49052,-119.03167, ,62ft, 
SB-3,33.487,-119.04055, , , 
SB-5,33.476,-119.0476333, , , 
SB-6,33.468,-119.0457167, , , 
SB-7,33.464,-119.0418333, , , 
SB-8,33.461,-119.0348, , , 
SB-9,33.471,-119.0260167, , , 
SB-10,33.484,-119.0228, , , 